actor_id,actor_name,degree_centrality,degree
nm0000212,Meg Ryan,0.0009819090692692216,33
nm0413168,Hugh Jackman,0.0022911211616281836,77
nm0000630,Liev Schreiber,0.0020828374196619854,70
nm0005227,Breckin Meyer,0.0009521542489883361,32
nm0864851,Kenneth Tobey,8.926446084265651e-05,3
nm0828288,Brinke Stevens,0.003897881456796001,131
nm0933983,R.G. Wilson,8.926446084265651e-05,3
nm0329491,John Goodwin,8.926446084265651e-05,3
nm0000417,Crispin Glover,0.0015174958343251606,51
nm0000603,Vanessa Redgrave,0.00119019281123542,40
nm0000457,John Hurt,0.0016662699357295882,56
nm0452288,Margot Kidder,0.00035705784337062603,12
nm0001002,Dean Cain,0.005921209235896215,199
nm0001299,Thomas Ian Griffith,8.926446084265651e-05,3
nm0923529,Justin Whalin,0.00026779338252796953,9
nm0936365,Jodi Bianca Wise,8.926446084265651e-05,3
nm0006763,Jackie Shroff,0.0014877410140442752,50
nm0007113,Nana Patekar,0.0009521542489883361,32
nm0310173,Kumar Gaurav,8.926446084265651e-05,3
nm0412917,Jaaved Jaaferi,0.0008926446084265652,30
nm1142237,Rosa Navarra,0.00020828374196619852,7
nm0321320,Rudy Giuliani,0.00020828374196619852,7
nm0001123,Dom DeLuise,0.000297548202808855,10
nm0898634,Frank Vincent,0.00119019281123542,40
nm0269451,Kenneth Favre,0.00020828374196619852,7
nm0803374,Gerry Sanseviero,0.00020828374196619852,7
nm1315804,Todo Segalla,0.00020828374196619852,7
nm0803138,Antonia Sisti,0.00020828374196619852,7
nm0001324,Ian Hart,0.0011604379909545346,39
nm0920148,Claudia Wells,8.926446084265651e-05,3
nm0115304,Lina Broydo,8.926446084265651e-05,3
nm0203349,Ian Davidson,8.926446084265651e-05,3
nm0427470,Andras Jones,8.926446084265651e-05,3
nm0001293,Seth Green,0.0010414187098309927,35
nm0001062,Jeffrey Combs,0.0011306831706736492,38
nm0732133,Wendy Robie,0.00017852892168531301,6
nm0000199,Al Pacino,0.0018150440371340157,61
nm0001583,Jerry Orbach,8.926446084265651e-05,3
nm0283299,Susan Floyd,8.926446084265651e-05,3
nm0568375,Ellen McElduff,8.926446084265651e-05,3
nm0000849,Javier Bardem,0.0015770054748869317,53
nm0603090,Laura Morante,0.00026779338252796953,9
nm0098709,Juan Diego Botto,0.00017852892168531301,6
nm0617799,Elvira Mínguez,8.926446084265651e-05,3
nm0089231,Scott Bloom,8.926446084265651e-05,3
nm0175305,Kevin Connolly,0.00035705784337062603,12
nm0001497,Tobey Maguire,0.0009223994287074506,31
nm0000138,Leonardo DiCaprio,0.0015174958343251606,51
nm0000639,Ally Sheedy,0.0006248512258985956,21
nm0641168,Brian O'Halloran,0.0013687217329207333,46
nm0377888,Justin Henry,8.926446084265651e-05,3
nm0290969,Jason David Frank,8.926446084265651e-05,3
nm0000461,Michael Ironside,0.0027969531064032374,94
nm0001781,Julie Strain,8.926446084265651e-05,3
nm0002150,Billy Idol,8.926446084265651e-05,3
nm0463233,Pier Paquette,8.926446084265651e-05,3
nm0001108,Robert Davi,0.002201856700785527,74
nm0001456,Kelly LeBrock,8.926446084265651e-05,3
nm0852082,Byron Taylor,8.926446084265651e-05,3
nm1325216,Roxanne Burger,8.926446084265651e-05,3
nm0000450,Philip Seymour Hoffman,0.0018150440371340157,61
nm0000513,William H. Macy,0.0018745536776957868,63
nm0682071,Rebecca Pidgeon,0.00041656748393239704,14
nm0383449,Michael Higgins,8.926446084265651e-05,3
nm0424682,Bryan Johnson,8.926446084265651e-05,3
nm0507915,Jerry Lewkowitz,8.926446084265651e-05,3
nm0839486,Ethan Suplee,0.00035705784337062603,12
nm0000154,Mel Gibson,0.0021125922399428706,71
nm0768018,Julia Sawalha,0.00035705784337062603,12
nm0200057,Phil Daniels,0.00017852892168531301,6
nm0272521,Lynn Ferguson,8.926446084265651e-05,3
nm0344435,Ioan Gruffudd,0.0009521542489883361,32
nm0004821,Michael Chiklis,0.0008033801475839086,27
nm0262635,Chris Evans,0.0022613663413472984,76
nm0004695,Jessica Alba,0.0018745536776957868,63
nm0000161,Salma Hayek,0.0021423470602237563,72
nm0000547,Alfred Molina,0.002172101880504642,73
nm0001691,Geoffrey Rush,0.0016662699357295882,56
nm0535502,Mía Maestro,0.0005355867650559391,18
nm0000136,Johnny Depp,0.0024994049035943823,84
nm0001287,Heather Graham,0.002826707926684123,95
nm0000453,Ian Holm,0.0005653415853368246,19
nm0001059,Robbie Coltrane,0.00026779338252796953,9
nm0565569,Stephen McHattie,0.0013687217329207333,46
nm0364977,Laura Harris,0.0005355867650559391,18
nm0000594,Jason Priestley,0.00035705784337062603,12
nm0941315,Gordon Michael Woolvett,8.926446084265651e-05,3
nm0000704,Elijah Wood,0.0018745536776957868,63
nm0005212,Ian McKellen,0.0013984765532016187,47
nm0089217,Orlando Bloom,0.0013092120923589622,44
nm0000293,Sean Bean,0.002023327779100214,68
nm0001111,Jeremy Davies,0.0007141156867412521,24
nm0000170,Milla Jovovich,0.0017555343965722447,59
nm0001751,Jimmy Smits,0.00026779338252796953,9
nm0000129,Tom Cruise,0.0016960247560104736,57
nm0779084,Dougray Scott,0.0013984765532016187,47
nm0628601,Thandiwe Newton,0.0017555343965722447,59
nm0000609,Ving Rhames,0.002707688645560581,91
nm0735442,Michelle Rodriguez,0.001606760295167817,54
nm1011675,Ryan McCluskey,8.926446084265651e-05,3
nm0668994,Oscar Pearce,8.926446084265651e-05,3
nm0000228,Kevin Spacey,0.0018447988574149012,62
nm0000194,Julianne Moore,0.0032730302308974055,110
nm0001132,Judi Dench,0.001606760295167817,54
nm0000949,Cate Blanchett,0.0031540109497738633,106
nm0184392,Martin Kove,0.0033027850511782907,111
nm0566044,Tane McClure,0.0001487741014044275,5
nm0007940,Bruce Abbott,0.00017852892168531301,6
nm0120494,Robert Z'Dar,0.0014877410140442752,50
nm0001772,Patrick Stewart,0.0014877410140442752,50
nm0000463,Famke Janssen,0.0021125922399428706,71
nm0000169,Tommy Lee Jones,0.0018150440371340157,61
nm0000226,Will Smith,0.0019340633182575576,65
nm0001800,Rip Torn,0.0010711735301118781,36
nm0001223,Lara Flynn Boyle,0.00035705784337062603,12
nm0000354,Matt Damon,0.003064746488931207,103
